Deleting each line of seed to set location bias.........Done

Generation: 0
BinarySearchProblemTest_534 fit: 10100.038
BinarySearchProblemTest_532 fit: 10101.277
BinarySearchProblemTest_530 fit: 10100.234
BinarySearchProblemTest_528 fit: 0.29186603
BinarySearchProblemTest_571 fit: 0.12440191
BinarySearchProblemTest_568 fit: 0.9282297
BinarySearchProblemTest_566 fit: 5000.1245
BinarySearchProblemTest_562 fit: 10101.411
BinarySearchProblemTest_559 fit: 9901.0
BinarySearchProblemTest_554 fit: 1.0
BinarySearchProblemTest_551 fit: 10101.277
BinarySearchProblemTest_585 fit: 1.0
BinarySearchProblemTest_584 fit: 34900.0
BinarySearchProblemTest_583 fit: 34900.0
BinarySearchProblemTest_581 fit: 34900.0
BinarySearchProblemTest_577 fit: 0.8564593
BinarySearchProblemTest_575 fit: 34900.0
BinarySearchProblemTest_601 fit: 10100.206
BinarySearchProblemTest_599 fit: 10101.124
BinarySearchProblemTest_598 fit: 1.0
BinarySearchProblemTest_594 fit: 10101.234
BinarySearchProblemTest_591 fit: 1.0
BinarySearchProblemTest_589 fit: 10101.464
BinarySearchProblemTest_620 fit: 7575.297
BinarySearchProblemTest_616 fit: 1.0
BinarySearchProblemTest_615 fit: 10100.163
BinarySearchProblemTest_610 fit: 1.0
BinarySearchProblemTest_608 fit: 34900.0
BinarySearchProblemTest_606 fit: 0.9521531
BinarySearchProblemTest_603 fit: 100.14354
BinarySearchProblemTest_639 fit: 1.0
BinarySearchProblemTest_637 fit: 1.0
BinarySearchProblemTest_634 fit: 9900.119
BinarySearchProblemTest_630 fit: 1.0
BinarySearchProblemTest_626 fit: 0.8564593
BinarySearchProblemTest_625 fit: 10101.189
BinarySearchProblemTest_624 fit: 1.0
BinarySearchProblemTest_621 fit: 1.0
BinarySearchProblemTest_658 fit: 10100.402
BinarySearchProblemTest_655 fit: 1.0
BinarySearchProblemTest_653 fit: 1.0
BinarySearchProblemTest_652 fit: 34900.0
BinarySearchProblemTest_650 fit: 0.9521531
BinarySearchProblemTest_648 fit: 1.0
BinarySearchProblemTest_646 fit: 5100.1577
BinarySearchProblemTest_643 fit: 1.0
BinarySearchProblemTest_641 fit: 0.8564593
BinarySearchProblemTest_678 fit: 1.0
BinarySearchProblemTest_674 fit: 1.0
BinarySearchProblemTest_671 fit: 10101.411
BinarySearchProblemTest_668 fit: 1.0478469
BinarySearchProblemTest_666 fit: 0.97129184
BinarySearchProblemTest_663 fit: 1.0
BinarySearchProblemTest_662 fit: 10100.22
BinarySearchProblemTest_660 fit: 1.0
BinarySearchProblemTest_692 fit: 0.9282297
BinarySearchProblemTest_691 fit: 10101.32
BinarySearchProblemTest_687 fit: 0.80861247
BinarySearchProblemTest_685 fit: 5000.1245
BinarySearchProblemTest_681 fit: 1.0
BinarySearchProblemTest_715 fit: 10101.277
BinarySearchProblemTest_714 fit: 34900.0
BinarySearchProblemTest_709 fit: 1.0
BinarySearchProblemTest_706 fit: 10100.182
BinarySearchProblemTest_702 fit: 10101.101
BinarySearchProblemTest_700 fit: 1.0
BinarySearchProblemTest_697 fit: 1.0
BinarySearchProblemTest_740 fit: 1.0
BinarySearchProblemTest_738 fit: 10101.015
BinarySearchProblemTest_734 fit: 0.97129184
Generation: 3
BinarySearchProblemTest_772 fit: 10100.234
BinarySearchProblemTest_771 fit: 0.29186603
BinarySearchProblemTest_770 fit: 10100.163
BinarySearchProblemTest_769 fit: 100.14354
BinarySearchProblemTest_768 fit: 10100.22
BinarySearchProblemTest_761 fit: 10101.244
BinarySearchProblemTest_762 fit: 7575.297
BinarySearchProblemTest_785 fit: 5000.134
BinarySearchProblemTest_782 fit: 10101.244
BinarySearchProblemTest_781 fit: 10100.182
BinarySearchProblemTest_780 fit: 0.9521531
BinarySearchProblemTest_776 fit: 0.9521531
BinarySearchProblemTest_773 fit: 101.239235
BinarySearchProblemTest_801 fit: 34900.0
BinarySearchProblemTest_799 fit: 34900.0
BinarySearchProblemTest_798 fit: 101.239235
BinarySearchProblemTest_797 fit: 0.9282297
BinarySearchProblemTest_795 fit: 0.29186603
BinarySearchProblemTest_793 fit: 34900.0
BinarySearchProblemTest_790 fit: 5000.1245
BinarySearchProblemTest_816 fit: 10101.158
BinarySearchProblemTest_814 fit: 10101.105
BinarySearchProblemTest_807 fit: 10101.272
BinarySearchProblemTest_805 fit: 100.99522
BinarySearchProblemTest_803 fit: 10100.038
BinarySearchProblemTest_831 fit: 34900.0
BinarySearchProblemTest_829 fit: 10100.033
BinarySearchProblemTest_828 fit: 10100.421
BinarySearchProblemTest_827 fit: 10101.015
BinarySearchProblemTest_826 fit: 100.210526
BinarySearchProblemTest_822 fit: 10100.038
BinarySearchProblemTest_817 fit: 0.29186603
BinarySearchProblemTest_847 fit: 34900.0
BinarySearchProblemTest_846 fit: 0.29186603
BinarySearchProblemTest_843 fit: 10101.211
BinarySearchProblemTest_841 fit: 10100.172
BinarySearchProblemTest_839 fit: 0.29186603
BinarySearchProblemTest_835 fit: 10101.048
BinarySearchProblemTest_834 fit: 10101.277
BinarySearchProblemTest_864 fit: 10100.201
BinarySearchProblemTest_861 fit: 10101.234
BinarySearchProblemTest_860 fit: 34900.0
BinarySearchProblemTest_857 fit: 34900.0
BinarySearchProblemTest_854 fit: 10100.038
BinarySearchProblemTest_853 fit: 10101.101
BinarySearchProblemTest_851 fit: 0.9282297
BinarySearchProblemTest_849 fit: 10100.153
BinarySearchProblemTest_884 fit: 10101.452
BinarySearchProblemTest_883 fit: 10100.22
BinarySearchProblemTest_880 fit: 34900.0
BinarySearchProblemTest_878 fit: 101.239235
BinarySearchProblemTest_877 fit: 10100.038
BinarySearchProblemTest_875 fit: 10101.234
BinarySearchProblemTest_873 fit: 10100.148
BinarySearchProblemTest_870 fit: 0.15311004
BinarySearchProblemTest_867 fit: 5000.1245
BinarySearchProblemTest_903 fit: 5000.1626
BinarySearchProblemTest_900 fit: 0.8564593
BinarySearchProblemTest_897 fit: 100.99522
BinarySearchProblemTest_895 fit: 10000.144
BinarySearchProblemTest_891 fit: 34900.0
BinarySearchProblemTest_889 fit: 100.99522
BinarySearchProblemTest_887 fit: 0.9521531
BinarySearchProblemTest_923 fit: 34900.0
BinarySearchProblemTest_921 fit: 0.784689
BinarySearchProblemTest_919 fit: 10101.148
BinarySearchProblemTest_916 fit: 0.8564593
BinarySearchProblemTest_914 fit: 10100.124
BinarySearchProblemTest_913 fit: 0.9521531
BinarySearchProblemTest_935 fit: 34900.0
BinarySearchProblemTest_908 fit: 100.14354
BinarySearchProblemTest_905 fit: 10101.282
BinarySearchProblemTest_940 fit: 10100.225
BinarySearchProblemTest_939 fit: 5000.1245
BinarySearchProblemTest_937 fit: 34900.0
BinarySearchProblemTest_932 fit: 0.9282297
BinarySearchProblemTest_931 fit: 8.966507
BinarySearchProblemTest_928 fit: 9901.213
BinarySearchProblemTest_926 fit: 7575.297
BinarySearchProblemTest_956 fit: 0.29186603
BinarySearchProblemTest_954 fit: 34900.0
BinarySearchProblemTest_952 fit: 0.12440191
BinarySearchProblemTest_950 fit: 100.99522
BinarySearchProblemTest_949 fit: 9901.0
BinarySearchProblemTest_947 fit: 0.32057416
BinarySearchProblemTest_942 fit: 10100.22
BinarySearchProblemTest_974 fit: 10101.144
BinarySearchProblemTest_971 fit: 100.14354
BinarySearchProblemTest_970 fit: 9900.148
BinarySearchProblemTest_968 fit: 9900.148
BinarySearchProblemTest_965 fit: 34900.0
BinarySearchProblemTest_963 fit: 34900.0
BinarySearchProblemTest_962 fit: 5000.1484
BinarySearchProblemTest_960 fit: 5000.134
BinarySearchProblemTest_958 fit: 1.0
BinarySearchProblemTest_989 fit: 10101.101
BinarySearchProblemTest_987 fit: 9900.335
BinarySearchProblemTest_983 fit: 0.8564593
BinarySearchProblemTest_982 fit: 5000.1533
BinarySearchProblemTest_979 fit: 10100.206
Generation: 4
BinarySearchProblemTest_1030 fit: 10100.144
BinarySearchProblemTest_1026 fit: 100.14354
BinarySearchProblemTest_1023 fit: 5000.1245
BinarySearchProblemTest_1018 fit: 0.1770335
BinarySearchProblemTest_1019 fit: 100.99522
BinarySearchProblemTest_1024 fit: 10100.512
BinarySearchProblemTest_1047 fit: 0.9282297
BinarySearchProblemTest_1045 fit: 9900.148
BinarySearchProblemTest_1044 fit: 34900.0
BinarySearchProblemTest_1043 fit: 10100.038
BinarySearchProblemTest_1042 fit: 34900.0
BinarySearchProblemTest_1040 fit: 0.80861247
BinarySearchProblemTest_1039 fit: 100.99522
BinarySearchProblemTest_1035 fit: 0.29186603
BinarySearchProblemTest_1033 fit: 5000.1484
BinarySearchProblemTest_1063 fit: 10200.119
BinarySearchProblemTest_1060 fit: 0.80861247
BinarySearchProblemTest_1057 fit: 34900.0
BinarySearchProblemTest_1055 fit: 5000.1245
BinarySearchProblemTest_1051 fit: 0.80861247
BinarySearchProblemTest_1084 fit: 9901.213
BinarySearchProblemTest_1082 fit: 100.14354
BinarySearchProblemTest_1076 fit: 100.14354
BinarySearchProblemTest_1075 fit: 0.29186603
BinarySearchProblemTest_1074 fit: 10100.033
BinarySearchProblemTest_1072 fit: 100.99522
BinarySearchProblemTest_1070 fit: 100.14354
BinarySearchProblemTest_1069 fit: 0.15311004
BinarySearchProblemTest_1066 fit: 0.29186603
BinarySearchProblemTest_1101 fit: 34900.0
BinarySearchProblemTest_1100 fit: 10101.015
BinarySearchProblemTest_1106 fit: 34900.0
BinarySearchProblemTest_1097 fit: 100.99522
BinarySearchProblemTest_1095 fit: 5000.1626
BinarySearchProblemTest_1093 fit: 34900.0
BinarySearchProblemTest_1089 fit: 34900.0
BinarySearchProblemTest_1086 fit: 10000.11
BinarySearchProblemTest_1120 fit: 34900.0
BinarySearchProblemTest_1118 fit: 100.210526
BinarySearchProblemTest_1116 fit: 0.8564593
BinarySearchProblemTest_1114 fit: 10101.0
BinarySearchProblemTest_1113 fit: 10100.211
BinarySearchProblemTest_1108 fit: 7575.297
