Deleting each line of seed to set location bias...............Done

Generation: 0
ExponentialSearchProblemTest_429 fit: 1.0
ExponentialSearchProblemTest_426 fit: 1.0
ExponentialSearchProblemTest_478 fit: 10100.259
ExponentialSearchProblemTest_472 fit: 0.84782606
ExponentialSearchProblemTest_467 fit: 10101.102
ExponentialSearchProblemTest_466 fit: 1.0
ExponentialSearchProblemTest_465 fit: 1.0
ExponentialSearchProblemTest_463 fit: 1.0
ExponentialSearchProblemTest_461 fit: 10100.286
ExponentialSearchProblemTest_457 fit: 1.0
ExponentialSearchProblemTest_496 fit: 1.0
ExponentialSearchProblemTest_494 fit: 1.0
ExponentialSearchProblemTest_490 fit: 1.0
Generation: 2
ExponentialSearchProblemTest_517 fit: 1.0
ExponentialSearchProblemTest_529 fit: 1.0072464
ExponentialSearchProblemTest_528 fit: 1.0
ExponentialSearchProblemTest_527 fit: 1.0
ExponentialSearchProblemTest_526 fit: 1.0
ExponentialSearchProblemTest_518 fit: 1.0
ExponentialSearchProblemTest_522 fit: 0.84782606
ExponentialSearchProblemTest_554 fit: 1.0
ExponentialSearchProblemTest_553 fit: 0.84782606
ExponentialSearchProblemTest_550 fit: 10001.0
ExponentialSearchProblemTest_546 fit: 10101.0
ExponentialSearchProblemTest_544 fit: 0.21014492
ExponentialSearchProblemTest_542 fit: 1.0
ExponentialSearchProblemTest_575 fit: 34900.0
ExponentialSearchProblemTest_539 fit: 1.0
ExponentialSearchProblemTest_536 fit: 101.0
ExponentialSearchProblemTest_534 fit: 1.0
ExponentialSearchProblemTest_582 fit: 1.0
ExponentialSearchProblemTest_577 fit: 1.0
ExponentialSearchProblemTest_574 fit: 1.0
ExponentialSearchProblemTest_572 fit: 10101.0
ExponentialSearchProblemTest_568 fit: 34900.0
ExponentialSearchProblemTest_565 fit: 1.0
ExponentialSearchProblemTest_562 fit: 1.0
ExponentialSearchProblemTest_555 fit: 1.0
ExponentialSearchProblemTest_611 fit: 0.9927536
ExponentialSearchProblemTest_609 fit: 10101.0
ExponentialSearchProblemTest_603 fit: 10101.0
ExponentialSearchProblemTest_601 fit: 10101.0
ExponentialSearchProblemTest_596 fit: 0.84782606
ExponentialSearchProblemTest_593 fit: 10100.993
ExponentialSearchProblemTest_587 fit: 10101.0
ExponentialSearchProblemTest_585 fit: 1.0
ExponentialSearchProblemTest_629 fit: 1.0
ExponentialSearchProblemTest_623 fit: 34900.0
ExponentialSearchProblemTest_620 fit: 0.9927536
ExponentialSearchProblemTest_619 fit: 34900.0
ExponentialSearchProblemTest_615 fit: 1.0
ExponentialSearchProblemTest_655 fit: 1.0
ExponentialSearchProblemTest_652 fit: 34900.0
ExponentialSearchProblemTest_647 fit: 10100.979
ExponentialSearchProblemTest_646 fit: 1.0
ExponentialSearchProblemTest_641 fit: 1.0
ExponentialSearchProblemTest_637 fit: 6301.0
ExponentialSearchProblemTest_635 fit: 30201.0
ExponentialSearchProblemTest_631 fit: 34900.0
ExponentialSearchProblemTest_673 fit: 1.0
ExponentialSearchProblemTest_671 fit: 10100.259
ExponentialSearchProblemTest_669 fit: 6300.8477
ExponentialSearchProblemTest_667 fit: 1.0
ExponentialSearchProblemTest_666 fit: 0.19565217
ExponentialSearchProblemTest_664 fit: 1.0
ExponentialSearchProblemTest_661 fit: 1.0
ExponentialSearchProblemTest_658 fit: 10100.935
ExponentialSearchProblemTest_656 fit: 1.0
ExponentialSearchProblemTest_694 fit: 34900.0
ExponentialSearchProblemTest_691 fit: 1.0
ExponentialSearchProblemTest_686 fit: 10100.848
ExponentialSearchProblemTest_682 fit: 1.0
ExponentialSearchProblemTest_680 fit: 34900.0
ExponentialSearchProblemTest_676 fit: 34900.0
ExponentialSearchProblemTest_713 fit: 0.9927536
ExponentialSearchProblemTest_710 fit: 1.0
ExponentialSearchProblemTest_708 fit: 1.0
ExponentialSearchProblemTest_706 fit: 1.0
ExponentialSearchProblemTest_704 fit: 10101.0
ExponentialSearchProblemTest_701 fit: 10101.0
ExponentialSearchProblemTest_696 fit: 34900.0
