Deleting each line of seed to set location bias.......Done

Generation: 0
SearchProblemTest_974 fit: 10100.009
SearchProblemTest_972 fit: 100.82947
SearchProblemTest_971 fit: 10100.009
SearchProblemTest_969 fit: 34900.0
SearchProblemTest_967 fit: 1.0
SearchProblemTest_1001 fit: 10100.012
SearchProblemTest_999 fit: 1.0
SearchProblemTest_995 fit: 1.0
SearchProblemTest_989 fit: 10100.558
SearchProblemTest_987 fit: 10100.01
SearchProblemTest_983 fit: 10100.01
SearchProblemTest_1024 fit: 10100.009
SearchProblemTest_1023 fit: 10100.558
SearchProblemTest_1021 fit: 1.0901786
SearchProblemTest_1017 fit: 10100.012
SearchProblemTest_1015 fit: 10100.01
SearchProblemTest_1011 fit: 9875.465
SearchProblemTest_1009 fit: 10100.009
SearchProblemTest_1008 fit: 10100.009
SearchProblemTest_1046 fit: 10101.005
SearchProblemTest_1043 fit: 1.0
SearchProblemTest_1038 fit: 10100.921
SearchProblemTest_1036 fit: 9900.02
SearchProblemTest_1035 fit: 10000.459
SearchProblemTest_1030 fit: 34900.0
SearchProblemTest_1028 fit: 1.0
SearchProblemTest_1026 fit: 10100.558
SearchProblemTest_1081 fit: 10000.015
SearchProblemTest_1077 fit: 10100.011
SearchProblemTest_1073 fit: 10201.82
SearchProblemTest_1070 fit: 1.0
SearchProblemTest_1069 fit: 10100.829
SearchProblemTest_1067 fit: 100.82947
SearchProblemTest_1063 fit: 1.0
SearchProblemTest_1053 fit: 100.82947
SearchProblemTest_1050 fit: 100.55447
SearchProblemTest_1048 fit: 10100.829
SearchProblemTest_1104 fit: 10050.834
SearchProblemTest_1102 fit: 1.0
SearchProblemTest_1099 fit: 10100.019
SearchProblemTest_1096 fit: 10100.999
SearchProblemTest_1091 fit: 1.0
SearchProblemTest_1089 fit: 10100.009
SearchProblemTest_1084 fit: 34900.0
SearchProblemTest_1125 fit: 100.8375
SearchProblemTest_1121 fit: 10000.459
SearchProblemTest_1119 fit: 10100.558
SearchProblemTest_1117 fit: 1.0
Generation: 4
SearchProblemTest_1147 fit: 10000.021
SearchProblemTest_1157 fit: 1.0
SearchProblemTest_1156 fit: 100.55447
SearchProblemTest_1155 fit: 1.0071429
SearchProblemTest_1150 fit: 9875.465
SearchProblemTest_1153 fit: 1.0
SearchProblemTest_1148 fit: 10100.009
SearchProblemTest_1151 fit: 100.55447
SearchProblemTest_1180 fit: 1.0
SearchProblemTest_1179 fit: 100.55447
SearchProblemTest_1176 fit: 10100.009
SearchProblemTest_1174 fit: 9901.001
SearchProblemTest_1172 fit: 1.0
SearchProblemTest_1169 fit: 10100.008
SearchProblemTest_1166 fit: 9900.02
SearchProblemTest_1164 fit: 10100.829
SearchProblemTest_1159 fit: 10201.0
SearchProblemTest_1196 fit: 9875.465
SearchProblemTest_1194 fit: 1.0
SearchProblemTest_1187 fit: 9900.02
SearchProblemTest_1184 fit: 1.0
SearchProblemTest_1225 fit: 1.0
SearchProblemTest_1222 fit: 9901.001
SearchProblemTest_1215 fit: 10100.921
SearchProblemTest_1214 fit: 10100.009
SearchProblemTest_1212 fit: 10100.009
SearchProblemTest_1211 fit: 100.55447
SearchProblemTest_1207 fit: 10100.009
SearchProblemTest_1202 fit: 1.0044643
SearchProblemTest_1249 fit: 10000.019
SearchProblemTest_1246 fit: 10100.009
SearchProblemTest_1243 fit: 10100.921
SearchProblemTest_1241 fit: 100.55447
SearchProblemTest_1237 fit: 1.0
SearchProblemTest_1234 fit: 10000.019
SearchProblemTest_1231 fit: 10100.921
SearchProblemTest_1229 fit: 10000.01
SearchProblemTest_1226 fit: 34900.0
SearchProblemTest_1271 fit: 10100.558
SearchProblemTest_1268 fit: 10100.921
SearchProblemTest_1265 fit: 10100.921
SearchProblemTest_1262 fit: 100.55447
SearchProblemTest_1260 fit: 10100.008
SearchProblemTest_1256 fit: 10100.01
SearchProblemTest_1253 fit: 34900.0
SearchProblemTest_1288 fit: 34900.0
SearchProblemTest_1286 fit: 100.55447
SearchProblemTest_1284 fit: 100.82947
SearchProblemTest_1279 fit: 1.0
SearchProblemTest_1275 fit: 100.564285
SearchProblemTest_1316 fit: 100.55447
SearchProblemTest_1314 fit: 34900.0
SearchProblemTest_1312 fit: 1.0
SearchProblemTest_1303 fit: 10000.459
SearchProblemTest_1297 fit: 1.0
SearchProblemTest_1292 fit: 1.0169643
